,ticker,security,outlook,rating,use,trust,upward_trend,outlook_date,revenue,rev_change_percent,profit ,profit_change_percent,assets,market_value,sector_y,industry_y,webscrape_date,net_income,ft_employee,div_yield,three_year,five_year,ten_year,alcohol,adult,gambling,tobacco,controversial_weapons,small_arms,military_contracting,coal,net_per_emp
29,ABC,AmerisourceBergen,49.0,,,,,8/4/18,168000000000.0,0.097,1658400000.0,3.55,37669800000.0,16785900000,Healthcare,Medical Distribution,9/12/20,,22000.0,1.78,5.42,-0.52,14.0,,,,,,,,,
30,ABG,Asbury Automotive Group,60.0,3.8,,,maybe,9/8/19,6874400000.0,0.065,168000000.0,0.208,2695400000.0,1352500000,Consumer Cyclical,Auto & Truck Dealerships,9/12/20,,8500.0,0.0,22.47,5.19,23.41,,,,,,,,,
31,ABM,ABM Industries,,,,,,,6442200000.0,0.181,97800000.0,24.737,3627500000.0,2407800000,Industrials,Specialty Business Services,9/12/20,,140000.0,1.96,-2.23,5.97,7.03,,,,,,,,,
32,ABMD,Abiomed Inc,,,,,,,,,,,,,Healthcare,Medical Devices,9/12/20,,1536.0,0.0,19.57,23.06,39.25,,,,,,,,,
33,ABR,"Arbor Realty Trust, Inc.",58.0,,,,,8/4/18,,,,,,,Real Estate,REIT—Mortgage,9/12/20,,532.0,10.77,22.2,20.96,14.52,,,,,,,,,
34,ABS,Albertsons,,,,,no,,59924600000.0,0.004,46300000.0,-,21812300000.0,#VALUE!,,,9/12/20,,275000.0,,,,,,,,,,,,,
35,ABT,Abbott Laboratories,58.0,,,,,8/4/18,30578000000.0,0.116,2368000000.0,3.964,67173000000.0,1.40E+11,Healthcare,Medical Devices,9/12/20,,107000.0,1.38,27.4,20.55,11.31,,,,,,,,,
36,ACB,Aurora Cannabis Inc.,,,,,,,,,,,,,Healthcare,Drug Manufacturers—Specialty & Generic,9/12/20,,2779.0,0.0,-36.01,17.84,,,,,,,,,,
37,ACIW,ACI Worldwide,,,,,,,,,,,,,Technology,Software—Infrastructure,9/12/20,,4018.0,0.0,2.25,2.74,13.6,,,,,,,,,
38,ACM,AECOM,44.0,3.2,,,,9/8/19,20155500000.0,0.107,136500000.0,-0.598,14681100000.0,4631300000,Industrials,Engineering & Construction,9/12/20,,86000.0,0.0,4.68,7.01,4.8,,,,,,,,,
