ticker,security,outlook,rating,use,trust,upward_trend,outlook_date,sector,industry
MHK,Mohawk Industries,64,,1,0,,8/4/18,Consumer Cyclical,Home Furnishings & Fixtures
TPX,"Tempur Sealy International, Inc.",,,,,,,Consumer Cyclical,Home Furnishings & Fixtures
WYN,Wyndham Worldwide,43,,0,0,,8/4/18,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
AXE,Anixter International,,,,,,,Industrials,Industrial Distribution
WCC,WESCO International,26,,1,0,,8/4/18,Industrials,Industrial Distribution
NCR,NCR,,,,,,,Technology,Information Technology Services
NSIT,Insight Enterprises,,,,,,,Technology,Information Technology Services
BRK.A,Berkshire Hathaway,44,3.1,1,0,yes,9/8/19,Financial Services,Insurance - Diversified
GNW,Genworth Financial,,,,,,,Financial Services,Insurance - Life
GL,Global Life Inc,42,,1,0,yes,8/4/18,Financial Services,Insurance - Life
MKL,Markel,,,,,,,Financial Services,Insurance - Property & Casualty
Y,Alleghany,,,,,,9/8/19,Financial Services,Insurance - Property & Casualty
WLTW,Willis Towers Watson,53,,1,0,,8/4/18,Financial Services,Insurance Brokers
PCLN,Priceline Group,36,,0,0,,8/4/18,Consumer Discretionary,Internet & Direct Marketing Retail
FB,Facebook,91,,0,1,yes,8/4/18,Technology,Internet Content & Information
GOOG,Alphabet,70,4.1,,,yes,9/8/19,Technology,Internet Content & Information
GOOGL,Alphabet (Google) (Class A),84,4.5,0,0,yes,2/27/21,Technology,Internet Content & Information
GRUB,GrubHub,70,,0,0,yes,8/4/18,Technology,Internet Content & Information
MTCH,"Match Group, Inc.",,,,,too early,,Technology,Internet Content & Information
SOHU,Sohu.com Limited,,,1,0,,8/4/18,Technology,Internet Content & Information
WB,Weibo Corporation,,,,,,,Technology,Internet Content & Information
WUBA,58.com Inc.,,,,,,9/8/19,Technology,Internet Content & Information
BKNG,Booking Holdings,,,,,,,Consumer Cyclical,Leisure
MAT,Mattel,18,,1,0,,8/4/18,Consumer Cyclical,Leisure
TRIP,TripAdvisor,38,,0,0,,8/4/18,Consumer Cyclical,Leisure
ADANIPORTS.NS,Adani Ports and Special Economic Zone Limited,,,,,,,Industrials,Marine Shipping
